@relation 'Acoustic Analysis (Time Domain)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute 'dB ' numeric
@attribute 'Zero Crossing Number' numeric
@attribute 'Standard Deviation' numeric
@attribute block numeric
@attribute 'vertical line' numeric
@attribute 'horizontal line' numeric
@attribute 'line with angles' numeric
@attribute curve numeric
@attribute oscillation numeric
@attribute 'High Freq' numeric
@attribute 'Middle Freq' numeric
@attribute 'Low Freq' {0,1}

@data
-57.171,70,6.992,1,0,0,0,0,0,0,0,1
-53.647,32,9.8595,1,0,0,0,0,0,0,0,1
-51.898,36,11.708,0,0,0,0,0,0,0,0,0
-52.309,40,11.271,0,0,0,0,0,0,0,0,0
-54.461,36,9.762,0,0,0,0,0,0,0,0,0
-56.469,53,6.4648,0,0,0,0,0,0,0,0,0
-52.874,35,11.178,0,0,0,0,0,0,0,0,0
-53.943,23,11.95,0,0,0,0,0,0,0,0,0
-52.097,25,11.315,0,0,0,0,0,0,0,0,0
-50.221,26,12.064,0,0,0,0,0,0,0,0,0
-54.647,71,5.17,1,0,0,0,0,0,0,0,0
-48.999,99,2.573,1,0,0,0,0,0,0,0,1
-47.877,90,3.2963,1,0,0,0,0,0,0,0,1
-45.061,93,1.713,1,0,0,0,0,0,0,0,1
-50.522,75,5.0492,1,0,0,0,0,0,0,0,1
-52.974,78,3.9094,1,0,0,0,0,0,0,0,1
-52.094,76,4.804,1,0,0,0,0,0,0,0,1
-51.348,35,9.0253,1,0,0,0,0,0,0,0,1
-53.514,45,9.3226,0,0,0,0,0,0,0,0,0
-50.604,30,12.391,0,0,0,0,0,0,0,0,0
-51.413,44,10.191,0,0,0,0,0,0,0,0,0
-51.802,34,12.034,0,0,0,0,0,0,0,0,0
-51.153,36,11.326,0,0,0,0,0,0,0,0,0
-55.538,46,8.578,0,0,0,0,0,0,0,0,0
-51.576,27,12.26,0,0,0,0,0,0,0,0,0
-56.01,43,11.169,0,0,0,0,0,0,0,0,0
-56.491,47,8.7269,0,0,0,0,0,0,0,0,0
-56.997,47,7.8793,0,0,0,0,0,0,0,0,0
-58.548,56,7.5404,0,0,0,0,0,0,0,0,0
-57.282,50,7.4496,0,0,0,0,0,0,0,0,0
-56.502,52,7.6422,0,0,0,0,0,0,0,0,0
-50.646,32,11.683,0,0,0,0,0,0,0,0,0
-48.728,22,12.843,0,0,0,0,0,0,0,0,0
-55.201,47,9.0356,0,0,0,0,0,0,0,0,0
-57.517,56,7.2827,0,0,0,0,0,0,0,0,0
-52.63,24,11.296,0,0,0,0,0,0,0,0,0
-53.15,30,11.215,0,0,0,0,0,0,0,0,0
-50.143,19,8.9613,0,0,0,0,0,0,0,0,0
-55.36,38,10.015,0,0,0,0,0,0,0,0,0
-55.228,40,10.2,0,0,0,0,0,0,0,0,0
-53.31,33,11.407,0,0,0,0,0,0,0,0,0
-57.541,54,10.066,0,1,0,0,0,0,1,0,0
-52.168,33,12.701,0,1,0,0,0,0,1,0,0
-53.021,31,11.848,0,1,0,0,0,0,1,0,0
-53.837,33,11.336,1,0,0,0,0,0,0,0,0
-56.087,43,9.2136,1,0,0,0,0,0,0,0,0
-56.217,47,10.603,1,0,0,0,0,0,0,0,0
-54.475,36,11.412,0,0,0,0,0,0,0,0,0
-55.968,43,9.0071,0,0,0,0,0,0,0,0,0
-53.129,27,12.759,0,0,0,0,0,0,0,0,0
-57.114,48,7.4084,0,0,0,0,0,0,0,0,0
-56.577,50,9.9578,0,0,0,0,0,0,0,0,0
-55.401,38,10.135,0,0,0,0,0,0,0,0,0
-56.402,41,8.2283,0,0,0,0,0,0,0,0,0
-53.536,37,9.9944,1,0,0,0,0,0,0,0,0
-56.781,39,8.4725,1,0,0,0,0,0,0,0,0
-50.947,23,11.137,1,0,0,0,0,0,0,0,0
-55.556,43,9.4364,1,0,0,0,0,0,0,0,0
-57.761,53,7.1232,0,0,0,0,0,0,0,0,0
-56.166,46,7.7241,0,0,0,0,0,0,0,0,0
-55.771,45,9.0487,0,0,0,0,0,0,0,0,0
-55.977,46,8.5907,0,0,0,0,0,0,0,0,0
-57.405,55,7.8963,0,0,0,0,0,0,0,0,0
-56.986,41,11.071,0,0,0,0,0,0,0,0,0
-55.018,45,10.763,0,0,0,0,0,0,0,0,0
-57.667,53,7.6436,0,0,0,0,0,0,0,0,0
-54.933,40,10.52,1,0,0,0,0,0,0,0,0
-56.142,50,8.736,1,0,0,0,0,0,0,0,0
-58.402,57,7.0572,1,0,0,0,0,0,0,0,0
-54.689,45,8.4989,1,0,0,0,0,0,0,0,0
-57.855,49,8.2049,0,0,0,0,0,0,0,0,0
-55.41,45,9.282,0,0,0,0,0,0,0,0,0
-57.142,57,7.6794,0,0,0,0,0,0,0,0,0
-54.713,38,10.363,0,0,0,0,0,0,0,0,0
-59.125,66,7.1013,0,0,0,0,0,0,0,0,0
-51.625,24,12.382,0,0,0,0,0,0,0,0,0
-58.368,56,7.7857,1,0,0,0,0,0,0,0,1
-55.934,50,9.4191,1,0,0,0,0,0,0,0,1
-53.042,36,11.354,1,0,0,0,0,0,0,0,1
-56.754,55,7.9901,1,0,0,0,0,0,0,0,1
-56.507,56,9.0882,0,0,0,0,0,0,0,0,0
-52.504,32,11.676,0,0,0,0,0,0,0,0,0
-57.398,53,8.0552,0,0,0,0,0,0,0,0,0
-56.359,43,8.5012,0,0,0,0,0,0,0,0,0
-55.026,42,9.9637,0,0,0,0,0,0,0,0,0
-55.363,40,11.28,0,0,0,0,0,0,0,0,0
-56.394,47,10.241,1,0,0,0,0,0,0,0,1
-58.498,55,7.6961,1,0,0,0,0,0,0,0,1
-56.815,45,8.2407,1,0,0,0,0,0,0,0,1
-55.661,41,11.107,0,0,0,0,0,0,0,0,0
-54.835,44,9.3273,0,0,0,0,0,0,0,0,0
-53.597,32,13.039,0,0,0,0,0,0,0,0,0
-57.515,56,7.4843,0,0,0,0,0,0,0,0,0
-57.695,57,7.4255,0,0,0,0,0,0,0,0,0
-55.102,42,10.695,0,0,0,0,0,0,0,0,0
-57.066,46,9.1837,1,0,0,0,0,0,0,0,1
-58.276,50,8.1321,1,1,0,0,0,0,1,0,1
-58.616,80,6.5925,1,1,0,0,0,0,1,0,1
-56.003,41,11.235,0,1,0,0,0,0,1,0,0
-55.334,39,11.252,0,0,0,0,0,0,0,0,0
-56.675,48,8.5883,0,0,0,0,0,0,0,0,0
-53.767,37,11.926,0,0,0,0,0,0,0,0,0
-53.746,36,11.782,0,0,0,0,0,0,0,0,0
-56.846,49,9.5718,0,0,0,0,0,0,0,0,0
-56.153,56,8.9712,0,0,0,0,0,0,0,0,0
-59.096,80,5.0093,1,0,0,0,0,0,0,0,1
-58.804,71,4.9599,1,0,0,0,0,0,0,0,1
-56.813,51,9.4293,1,0,0,0,0,0,0,0,1
-58.437,54,7.5522,0,0,0,0,0,0,0,0,0
-56.814,44,9.2245,0,0,0,0,0,0,0,0,0
-56.188,39,10.058,0,0,0,0,0,0,0,0,0
-57.282,43,8.9304,0,0,0,0,0,0,0,0,0
-57.997,48,9.4636,0,0,0,0,0,0,0,0,0
-54.359,37,11.066,0,0,0,0,0,0,0,0,0
-56.033,43,9.0483,1,0,0,0,0,0,0,0,1
-55.836,40,9.9987,1,0,0,0,0,0,0,0,1
-50.963,26,12.388,1,0,0,0,0,0,0,0,1
-51.293,28,12.336,1,0,0,0,0,0,0,0,1
-54.118,46,9.7682,0,0,0,0,0,0,0,0,0
-51.632,23,11.153,0,0,0,0,0,0,0,0,0
-52.045,31,12.59,0,0,0,0,0,0,0,0,0
-57.097,48,8.1448,0,0,0,0,0,0,0,0,0
-56.513,35,10.808,0,0,0,0,0,0,0,0,0
-52.791,30,12.435,0,0,0,0,0,0,0,0,0
-57.916,47,7.9394,1,0,0,0,0,0,0,0,1
-52.343,34,12.338,1,0,0,0,0,0,0,0,1
-56.231,36,11.028,1,0,0,0,0,0,0,0,1
-56.994,51,9.0589,1,0,0,0,0,0,0,0,1
-53.947,30,11.576,0,0,0,0,0,0,0,0,0
-59.65,70,5.916,0,0,0,0,0,0,0,0,0
-57.628,56,7.7169,0,0,0,0,0,0,0,0,0
-56.51,45,8.4965,0,0,0,0,0,0,0,0,0
-55.65,37,11.911,0,0,0,0,0,0,0,0,0
-58.311,56,5.7948,1,0,0,0,0,0,0,0,1
-56.574,53,8.8903,1,0,0,0,0,0,0,0,1
-58.173,74,6.6926,1,0,0,0,0,0,0,0,1
-54.232,42,10.282,1,0,0,0,0,0,0,0,1
-51.763,25,12.377,0,0,0,0,0,0,0,0,0
-51.5,28,12.671,0,0,0,0,0,0,0,0,0
-54.246,32,10.844,0,0,0,0,0,0,0,0,0
-57.119,45,8.9974,0,0,0,0,0,0,0,0,0
-57.336,48,8.4725,0,0,0,0,0,0,0,0,0
-53.25,30,11.663,0,0,0,0,0,0,0,0,0
-52.512,30,13.137,1,0,0,0,0,0,0,0,1
-55.879,47,10.286,1,0,0,0,0,0,0,0,1
-54.492,31,13.682,1,0,0,0,0,0,0,0,1
-57.996,50,9.1833,0,0,0,0,0,0,0,0,0
-54.293,40,11.283,0,0,0,0,0,0,0,0,0
-57.781,48,7.0118,0,0,0,0,0,0,0,0,0
-54.661,40,11.65,0,0,0,0,0,0,0,0,0
-56.649,50,7.7573,0,0,0,0,0,0,0,0,0
-54.375,33,10.599,0,0,0,0,0,0,0,0,0
-54.019,26,13.276,0,1,0,0,0,0,1,0,0
-59.523,65,6.5829,1,1,0,0,0,0,1,0,1
-59.246,73,6.238,1,1,0,0,0,0,1,0,1
-58.036,54,8.1049,1,0,0,0,0,0,0,0,1
-56.905,52,8.748,0,0,0,0,0,0,0,0,0
-57.764,55,8.4486,0,0,0,0,0,0,0,0,0
-55.403,42,10.55,0,0,0,0,0,0,0,0,0
-57.82,48,8.9174,0,0,0,0,0,0,0,0,0
-55.046,42,10.319,0,0,0,0,0,0,0,0,0
-56.65,42,9.9991,0,0,0,0,0,0,0,0,0
-55.216,45,9.5695,0,0,0,0,0,0,0,0,0
-55.488,43,11.893,1,0,0,0,0,0,0,0,1
-57.582,56,6.4786,1,0,0,0,0,0,0,0,1
-58.827,58,7.0169,1,0,0,0,0,0,0,0,1
-56.467,62,6.9401,0,0,1,0,0,0,0,0,1
-53.108,55,4.8844,0,0,1,0,0,0,0,0,1
-52.352,50,5.0111,0,0,1,0,0,0,0,0,1
-49.89,55,2.8209,0,0,1,0,0,0,0,0,1
-51.996,57,4.1567,0,0,1,0,0,0,0,0,1
-54.658,40,10.66,0,0,1,0,0,0,0,0,1
-56.601,51,8.2057,0,0,1,0,0,0,0,0,1
-55.66,43,11.088,1,0,0,0,0,0,0,0,1
-56.255,55,7.6436,1,0,0,0,0,0,0,0,1
-50.77,21,10.454,1,0,0,0,0,0,0,0,1
-58.204,53,6.9929,0,0,0,0,0,0,0,0,0
-54.797,46,10.299,0,0,0,0,0,0,0,0,0
-58.794,51,9.4295,0,0,0,0,0,0,0,0,0
-54.642,36,12.47,0,0,0,0,0,0,0,0,0
-57.023,48,9.0704,0,0,0,0,0,0,0,0,0
-57.76,55,7.4811,0,0,0,0,0,0,0,0,0
-56.903,40,9.5654,0,0,0,0,0,0,0,0,0
-54.817,31,12.073,0,0,0,0,0,0,0,0,0
-54.811,43,10.912,1,0,1,0,0,0,0,0,1
-55.272,52,9.3103,1,0,1,0,0,0,0,0,1
-51.674,49,6.9809,1,0,1,0,0,0,0,0,1
-48.898,55,2.5415,0,0,1,0,0,0,0,0,1
-47.27,54,1.7367,0,0,1,0,0,0,0,0,1
-46.022,54,1.2071,0,0,1,0,0,0,0,0,1
-51.705,53,5.1161,0,0,1,0,0,0,0,0,1
-56.915,56,5.8046,0,0,1,0,0,0,0,0,1
-54.234,36,9.0393,0,0,1,0,0,0,0,0,1
-58.571,53,7.9035,0,0,0,0,0,0,0,0,0
-56.134,40,9.5261,1,0,0,0,0,0,0,0,1
-55.431,45,10.328,1,0,0,0,0,0,0,0,1
-55.585,46,9.3394,1,0,0,0,0,0,0,0,1
-52.549,27,10.698,0,0,0,0,0,0,0,0,0
-56.864,43,9.4236,0,0,0,0,0,0,0,0,0
-58.587,55,9.0338,0,0,0,0,0,0,0,0,0
-58.49,58,8.0643,0,0,0,0,0,0,0,0,0
-58.29,60,8.2022,0,0,1,0,0,0,0,0,1
-56,52,8.525,0,0,1,0,0,0,0,0,1
-49.204,50,4.4643,0,0,1,0,0,0,0,0,1
-46.26,56,1.3419,0,0,1,0,0,0,0,0,1
-43.059,56,1.1538,0,0,1,0,0,0,0,0,1
-41.414,57,0.76908,0,0,1,0,0,0,0,0,1
-39.461,56,0.54832,1,1,1,0,0,0,1,0,1
-40.319,56,0.95278,1,1,1,0,0,0,1,0,1
-42.58,55,1.1784,1,1,1,0,0,0,1,0,1
-47.381,54,1.7385,0,0,1,0,0,0,0,0,1
-54.615,52,5.1344,0,0,1,0,0,0,0,0,1
-53.138,35,10.726,0,0,1,0,0,0,0,0,1
-53.587,44,8.7798,0,0,1,0,0,0,0,0,1
-51.018,27,12.602,0,0,1,0,0,0,0,0,1
-56.239,51,6.2039,1,0,1,0,0,0,0,0,1
-50.907,68,4.2126,1,0,1,0,0,0,0,0,1
-50.311,45,4.864,1,0,1,0,0,0,0,0,1
-51.129,53,5.0297,0,0,1,0,0,0,0,0,1
-52.62,49,5.2722,0,0,1,0,0,0,0,0,1
-56.689,48,8.8049,0,0,1,0,0,0,0,0,1
-58.897,66,7.0149,0,0,1,0,0,0,0,0,1
-53.368,47,6.9545,0,0,1,0,0,0,0,0,1
-49.804,48,3.3678,0,0,1,0,0,0,0,0,1
-52.518,42,7.2108,0,0,1,0,0,0,0,0,1
-49.078,38,6.852,0,0,1,0,0,0,0,0,1
-54.634,46,8.3938,0,0,1,0,0,0,0,0,1
-56.439,44,10.063,0,0,0,0,0,0,0,0,0
-56.097,56,7.5278,0,0,1,0,0,0,0,0,1
-52.724,59,5.8413,0,0,1,0,0,0,0,0,1
-45.927,65,2.3915,0,0,1,0,0,0,1,0,1
-44.783,66,1.4112,0,0,1,0,0,0,1,0,1
-46.091,67,0.99751,1,0,1,0,0,0,1,0,1
