Frame Number,Start Sample No.,End Sample No.,dB ,Zero Crossing Number,Standard Deviation,block,vertical line,horizontal line,line with angles,curve,oscillation,High Freq,Middle Freq,Low Freq
1,1,512,-57.171,70,6.992,1,0,0,0,0,0,0,0,1
2,513,1024,-53.647,32,9.8595,1,0,0,0,0,0,0,0,1
3,1025,1536,-51.898,36,11.708,0,0,0,0,0,0,0,0,0
4,1537,2048,-52.309,40,11.271,0,0,0,0,0,0,0,0,0
5,2049,2560,-54.461,36,9.762,0,0,0,0,0,0,0,0,0
6,2561,3072,-56.469,53,6.4648,0,0,0,0,0,0,0,0,0
7,3073,3584,-52.874,35,11.178,0,0,0,0,0,0,0,0,0
8,3585,4096,-53.943,23,11.95,0,0,0,0,0,0,0,0,0
9,4097,4608,-52.097,25,11.315,0,0,0,0,0,0,0,0,0
10,4609,5120,-50.221,26,12.064,0,0,0,0,0,0,0,0,0
11,5121,5632,-54.647,71,5.17,1,0,0,0,0,0,0,0,0
12,5633,6144,-48.999,99,2.573,1,0,0,0,0,0,0,0,1
13,6145,6656,-47.877,90,3.2963,1,0,0,0,0,0,0,0,1
14,6657,7168,-45.061,93,1.713,1,0,0,0,0,0,0,0,1
15,7169,7680,-50.522,75,5.0492,1,0,0,0,0,0,0,0,1
16,7681,8192,-52.974,78,3.9094,1,0,0,0,0,0,0,0,1
17,8193,8704,-52.094,76,4.804,1,0,0,0,0,0,0,0,1
18,8705,9216,-51.348,35,9.0253,1,0,0,0,0,0,0,0,1
19,9217,9728,-53.514,45,9.3226,0,0,0,0,0,0,0,0,0
20,9729,10240,-50.604,30,12.391,0,0,0,0,0,0,0,0,0
21,10241,10752,-51.413,44,10.191,0,0,0,0,0,0,0,0,0
22,10753,11264,-51.802,34,12.034,0,0,0,0,0,0,0,0,0
23,11265,11776,-51.153,36,11.326,0,0,0,0,0,0,0,0,0
24,11777,12288,-55.538,46,8.578,0,0,0,0,0,0,0,0,0
25,12289,12800,-51.576,27,12.26,0,0,0,0,0,0,0,0,0
26,12801,13312,-56.01,43,11.169,0,0,0,0,0,0,0,0,0
27,13313,13824,-56.491,47,8.7269,0,0,0,0,0,0,0,0,0
28,13825,14336,-56.997,47,7.8793,0,0,0,0,0,0,0,0,0
