@relation 'Acoustic Analysis (Time Domain)-weka.filters.unsupervised.attribute.Remove-R1-3,13-15-weka.filters.unsupervised.attribute.Remove-R2-3'

@attribute 'dB ' numeric
@attribute block numeric
@attribute 'vertical line' numeric
@attribute 'horizontal line' numeric
@attribute 'line with angles' numeric
@attribute curve numeric
@attribute oscillation numeric

@data
-57.171,1,0,0,0,0,0
-53.647,1,0,0,0,0,0
-51.898,0,0,0,0,0,0
-52.309,0,0,0,0,0,0
-54.461,0,0,0,0,0,0
-56.469,0,0,0,0,0,0
-52.874,0,0,0,0,0,0
-53.943,0,0,0,0,0,0
-52.097,0,0,0,0,0,0
-50.221,0,0,0,0,0,0
-54.647,1,0,0,0,0,0
-48.999,1,0,0,0,0,0
-47.877,1,0,0,0,0,0
-45.061,1,0,0,0,0,0
-50.522,1,0,0,0,0,0
-52.974,1,0,0,0,0,0
-52.094,1,0,0,0,0,0
-51.348,1,0,0,0,0,0
-53.514,0,0,0,0,0,0
-50.604,0,0,0,0,0,0
-51.413,0,0,0,0,0,0
-51.802,0,0,0,0,0,0
-51.153,0,0,0,0,0,0
-55.538,0,0,0,0,0,0
-51.576,0,0,0,0,0,0
-56.01,0,0,0,0,0,0
-56.491,0,0,0,0,0,0
-56.997,0,0,0,0,0,0
-58.548,0,0,0,0,0,0
-57.282,0,0,0,0,0,0
-56.502,0,0,0,0,0,0
-50.646,0,0,0,0,0,0
-48.728,0,0,0,0,0,0
-55.201,0,0,0,0,0,0
-57.517,0,0,0,0,0,0
-52.63,0,0,0,0,0,0
-53.15,0,0,0,0,0,0
-50.143,0,0,0,0,0,0
-55.36,0,0,0,0,0,0
-55.228,0,0,0,0,0,0
-53.31,0,0,0,0,0,0
-57.541,0,1,0,0,0,0
-52.168,0,1,0,0,0,0
-53.021,0,1,0,0,0,0
-53.837,1,0,0,0,0,0
-56.087,1,0,0,0,0,0
-56.217,1,0,0,0,0,0
-54.475,0,0,0,0,0,0
-55.968,0,0,0,0,0,0
-53.129,0,0,0,0,0,0
-57.114,0,0,0,0,0,0
-56.577,0,0,0,0,0,0
-55.401,0,0,0,0,0,0
-56.402,0,0,0,0,0,0
-53.536,1,0,0,0,0,0
-56.781,1,0,0,0,0,0
-50.947,1,0,0,0,0,0
-55.556,1,0,0,0,0,0
-57.761,0,0,0,0,0,0
-56.166,0,0,0,0,0,0
-55.771,0,0,0,0,0,0
-55.977,0,0,0,0,0,0
-57.405,0,0,0,0,0,0
-56.986,0,0,0,0,0,0
-55.018,0,0,0,0,0,0
-57.667,0,0,0,0,0,0
-54.933,1,0,0,0,0,0
-56.142,1,0,0,0,0,0
-58.402,1,0,0,0,0,0
-54.689,1,0,0,0,0,0
-57.855,0,0,0,0,0,0
-55.41,0,0,0,0,0,0
-57.142,0,0,0,0,0,0
-54.713,0,0,0,0,0,0
-59.125,0,0,0,0,0,0
-51.625,0,0,0,0,0,0
-58.368,1,0,0,0,0,0
-55.934,1,0,0,0,0,0
-53.042,1,0,0,0,0,0
-56.754,1,0,0,0,0,0
-56.507,0,0,0,0,0,0
-52.504,0,0,0,0,0,0
-57.398,0,0,0,0,0,0
-56.359,0,0,0,0,0,0
-55.026,0,0,0,0,0,0
-55.363,0,0,0,0,0,0
-56.394,1,0,0,0,0,0
-58.498,1,0,0,0,0,0
-56.815,1,0,0,0,0,0
-55.661,0,0,0,0,0,0
-54.835,0,0,0,0,0,0
-53.597,0,0,0,0,0,0
-57.515,0,0,0,0,0,0
-57.695,0,0,0,0,0,0
-55.102,0,0,0,0,0,0
-57.066,1,0,0,0,0,0
-58.276,1,1,0,0,0,0
-58.616,1,1,0,0,0,0
-56.003,0,1,0,0,0,0
-55.334,0,0,0,0,0,0
-56.675,0,0,0,0,0,0
-53.767,0,0,0,0,0,0
-53.746,0,0,0,0,0,0
-56.846,0,0,0,0,0,0
-56.153,0,0,0,0,0,0
-59.096,1,0,0,0,0,0
-58.804,1,0,0,0,0,0
-56.813,1,0,0,0,0,0
-58.437,0,0,0,0,0,0
-56.814,0,0,0,0,0,0
-56.188,0,0,0,0,0,0
-57.282,0,0,0,0,0,0
-57.997,0,0,0,0,0,0
-54.359,0,0,0,0,0,0
-56.033,1,0,0,0,0,0
-55.836,1,0,0,0,0,0
-50.963,1,0,0,0,0,0
-51.293,1,0,0,0,0,0
-54.118,0,0,0,0,0,0
-51.632,0,0,0,0,0,0
-52.045,0,0,0,0,0,0
-57.097,0,0,0,0,0,0
-56.513,0,0,0,0,0,0
-52.791,0,0,0,0,0,0
-57.916,1,0,0,0,0,0
-52.343,1,0,0,0,0,0
-56.231,1,0,0,0,0,0
-56.994,1,0,0,0,0,0
-53.947,0,0,0,0,0,0
-59.65,0,0,0,0,0,0
