3107,3269,3857,58|197,226,169,41,147,23,159,154,239,49,94,128,183,88,217,116,5,14,222,121,208,185,227,64,181,1,184,76,194,42
3139,3358,3107|23,149,40,65,209,187,153,202,130,201,17,18,230,157,95,156,126,122,159,124,222,181,200,32,175
3396,3358,58|223,4,23,25,227,208
3224,3347,3107|184,66,6,21,84,7,21,208,43,238,232,191,23,4,89,33,181,132,24,48
3224,3269,3107,3398,3177|102,222,31,228,236,216,84,19,155,235,169,53,232,131,236,203,28,120,113,32,202,80,233,104,155,218,28,77,72,69,37,121,54,60,230,97,110,232,202,147
3107,3224,2998,3988,3265,3269|167,41,168,20,68,227,56,19,174,227,216,164,194,147,194,124,118,215,177,161,192,138,146,217,149,186,81,66,8,3,17,213,177
2725,3265|222,98,215,209,144,180
3216,2998,3107,3224,3265|225,57,166,50,152,112,31,5,193,226,196,43,20,50,126,38,182,240,86,25,144,67,113,181,208,31,78,92,22,131,210,89
3398,3224,3107,3358|125,128,174,61,165,8,50
3139,3107,58|164,105,67,114,84,26
3224,3265,3107,3269|136,172,100,185,234,12,69,136,143,213,142,214,120,16
3398,3107,3224,3358,54,3260|189,100,218,4,118,237,30,221,86,146,236,117,83,234,146,107,98,169,237,177,64,5,169
3269,3107,3216,54|83,123,137,55,223,100,142,48,66,64,43,34,105,133,227,157,115,169,13,171,71,83,70,69
3224,3269,3398,6503,3107,3216,3265,3524|131,133,175,26,184,72,50,189,169,20,60,19,229,54,185,52,55,196,195,125,111,174,3,185,88,64
3224,3107,3358,3396,2998|47,182,194,22,151,140,186,138,131,167,234,32,182,224,99,236,78,232,228,203,229,101,32,232,234,44
3216,3224,3107,3269|202,111,71,67,123,179,234,172,158,218,226,196,194,108,86,174,146,213
3269,3107,3358|142,40,202,223,28,20,56,121,130,67,223,63,33,236,229,211,5,160
3857,3107,3265,3224,3269,3225|30,145,85,22,121,209,109,195,33,137,12,4,90,138,164,217,130,199,84,26,98,158,108,48,57,1,20,139,164,84,15,69,30,8,88,67,115,39,93,201,138,145,117,132,193,136,160,176,16,12,92
3107,3265,3218,3216|206,27,45,161,169,72,227,168,2,203,50,183,224,230,198,32,176,96,136,117
2998,3269,58,3107|26,240,115,79,126,236,59,180,27,82,99,5,107,162,132,38,39,229,175,231
2998|216,79,40,87,134,117,31,37,48
3982,3351,3437,3224,3989,3177|2,188,68,153,43,123,44,206,160,39,203,37,211,10,201,98,18,155
3224,3358,3265,3107|131,11,9,140,218,157,82,174,119,46,110,107,121,106,181
133,3358,2998,3269|60,121,223,39,156,176,4
3107,3224|31,42,221,20,92,42,176,124
3107,3260,7417,3224,54,3857|151,59,210,79,211,104,73,81,239,3,10,79,192,227,232,221,105,163,4,180,54,159
3107,3265,3358,58,3396|197,166,76,77,33,102,197,134,137,213,105,67,145,189,229,140,201
3107|105,178,233,6,223,98,135,161,107,77,2,94,220,69,177,211,234,180,232,127,228,239
3107,3396,3269,3139,2998|108,87,12,59,72,226,98,32,194,96,173,39,160,212,146,156,199,152,144
3107|90,44,60,133,135
