CallId	AudioReadingID	Hits	PeriodicHits	BestCallScore	BestScoreLocation
2	1A07E9B9-7AB3-4DEE-8395-F3C1B83EAD25	33	9	10	12854
2	D888F918-ADB0-4032-ABDD-F433CBBE7FE1	13	0	0	0
2	8BA4621B-A304-4986-B718-F81A206B79C1	10	0	0	0
2	D695B0D7-103A-4B02-A8DE-F9E5FC51259F	29	3	6	6204
2	6CAF5E59-FF95-4665-ADD4-FA566A9099E8	34	12	14	23554
2	1CFC37F7-2EA5-46B1-B1E2-FAD0735B1E92	32	5	6	18204
2	35A57B53-2A9E-46F4-A1B5-FAD62090CA03	45	4	4	8953
2	E79AD7D7-BEB4-498A-A51C-FB55E9FE1962	18	4	8	19504
2	E9317DB8-947F-405E-96AD-FDDD54F13204	33	2	2	4718
2	45440A3A-BF55-4166-9163-FE911127623B	11	3	4	6241
2	881C3C8A-09BA-475F-8FAD-29A5F5AEFDB9	8	1	2	10365
2	62127B13-ADEB-42A5-97C7-2B3421A3E00F	36	1	2	10253
2	5F3953D1-4EE5-4B54-A68C-2D2F6E91C2DB	10	1	0	0
2	FFD94812-279B-4299-B26B-309479E57616	15	1	2	18464
2	BF8E8668-8C37-4D8C-91E1-30B00293775C	15	2	2	17758
2	9C337BCA-31BC-41BB-8F0A-3256F0130797	29	7	14	8284
2	BE19AF7C-0F60-4B68-96F6-35E97F50028D	42	5	6	18427
2	648C1A3F-C58A-411D-9F12-369222D69BBC	27	3	4	16755
2	9DE31C46-853E-43AF-BE69-41A0F8E114C2	41	7	12	12928
2	899A1C22-C278-4110-B270-41EF6AD11F1A	16	1	2	23368
2	DAB5B1AF-2D1E-4CA4-9F1D-489E89874E9A	12	3	2	9733
2	4811B145-526E-449D-B6E6-4961CC02026F	19	2	2	5647
2	2ACCF011-EA0A-496A-8B1F-4D2997086A10	38	6	4	2972
2	218436B9-F58C-4A47-80E0-510B7570A1FB	23	2	4	13560
2	DD5DC949-EED0-4A79-B1F4-51AA915D57BB	10	0	0	0
2	1C2C0FA7-0837-443C-97B6-52992F7688FC	10	2	0	0
2	D2ED5280-87BE-4553-BE05-52A78B8F11E4	29	5	4	25746
2	76C920A8-2BF7-459A-8D7F-538AD73EAF5A	24	6	12	2637
2	8880A83C-A467-47B7-924C-540C706628CE	45	10	8	3343
2	C4FEB38A-6C5F-4115-8C42-543E2CDEB18D	6	0	0	0
2	1AE6623F-B374-4EAB-B373-589502BA62A5	25	7	13	3009
2	5523171C-2DDF-4D55-A2B4-5B26CB45F3EF	2	0	0	0
2	503B7985-27F4-48C4-B01E-5BA8467EAEA2	1	0	0	0
2	846D064C-2D32-4D03-8F60-5ED1F6642A3F	11	0	0	0
2	FD7821B0-2748-4C42-BCE0-614E5AF6FDDF	1	0	0	0
2	2DDEACCB-A18C-480B-AA79-640C2C981734	15	2	4	19839
2	4EC721C9-1FD1-405F-88E7-6469434F3771	22	4	7	12408
2	36D239CF-BD7F-43ED-A795-64B2D251FA8E	19	1	2	25523
2	884D12B9-38AA-4B9A-B5F2-66A04762A3D9	9	0	0	0
2	F5BC905C-91EE-4B83-8D29-692568CE64B2	22	3	6	12074
2	F3F3D144-555C-4965-8158-697CCDBB0F54	26	3	2	4755
2	BBFDC223-1AFC-4069-9040-69A721429106	47	5	4	4198
2	1398D468-02F8-4CBD-81A6-6A9059D4296F	57	2	2	10068
2	BD57FC82-88CD-4E81-8758-6C260827FDDA	30	6	10	18278
2	5539B413-6189-47D0-8EDD-6D3DD3B80C39	51	9	9	12185
2	6DA041FE-AE8B-43CE-857C-70E7D7C45471	10	0	0	0
2	A089146C-EECC-4845-B0DA-712757881E8A	5	0	0	0
2	79651353-A467-4613-B8BA-72AC9FB6865F	30	7	8	20359
2	00EF79DD-0F3D-4069-AE41-72F1EFD7E685	15	3	2	13820
2	1ABD71BB-1FA3-4471-864E-78A2164A7BBA	28	3	6	19356
2	CE11A289-BC46-4305-9467-78DB1CB18E5D	46	17	12	22031
2	0A5D4B4D-F32E-449F-ADBB-7A434D43C6CF	4	0	0	0
2	015FA955-F953-44AA-BCFC-7A9FD709FC03	27	5	6	26080
2	EFA9BCC7-B3F8-4F71-AB20-7AE86685FB38	12	2	4	16049
2	637DC27F-4BB4-45FB-9E37-7B73ED894712	38	4	6	17127
2	4BB9F755-2338-4F65-8B0F-7E6A13ACE7CD	6	0	0	0
2	EFEED2D3-8D4B-47B4-A1A6-820E4DD11992	28	5	4	4755
2	6ECE56A1-D871-4AFA-83D5-8269979964E8	35	3	2	3826
2	886C88D9-75E8-4604-8AC4-82A8E96B9135	37	3	4	9510
2	65B88035-08CB-49BE-B1DE-82F979A4031D	6	0	0	0
2	A721C0A2-2498-4E77-90B6-83655DC7C931	10	1	2	26266
2	5B0A50FD-B1A5-4487-81FB-86CF78F97B8B	2	0	0	0
2	F28FA7DD-6ABA-4D70-8197-887B2BBF06BD	20	5	4	5052
2	7E8765AF-3E56-4209-A124-8F9F9CBE2608	38	7	8	23257
2	4ED2BD7F-0FF9-435A-ABB3-903C72D772E8	14	0	0	0
2	B37382C5-2569-41A5-A7C5-934489E2042F	9	1	2	23368
2	5D4B68F0-6A47-47DF-8FDA-93A2370B0738	21	4	4	15529
2	356F57D1-FB31-471A-87C8-977844087FCD	4	0	0	0
2	3691015B-904D-4967-8CDD-988D092B3914	18	1	2	10848
2	790EF590-6A4C-4885-8AB0-99CA92CA4AD0	11	0	0	0
2	F1F89036-5EAD-4AE5-860C-9A3A1A3680DB	32	5	4	24000
2	6B91FDAB-9379-4C7B-BBBF-9B2C02AB99BC	5	0	0	0
2	668FDBDA-17FD-4C24-8136-9B783E2DDD10	34	6	6	8061
2	0575E0FE-937F-4431-AF8D-9C8DB7BB5B60	5	1	2	14414
2	A76DEF15-248C-41E3-88B5-9D0EE069B453	9	1	2	4755
2	6364964F-5D36-490C-878A-A0A250AE022B	28	2	4	23034
2	09C325D3-7801-4783-B697-A0D779B276CD	18	2	2	3120
2	F970C0D1-A9AC-48CE-8916-A18602E4F861	3	0	0	0
2	A7BF386A-FF4D-420D-A9EF-A239C49DAF52	10	0	0	0
2	D70468AB-7092-4785-A513-A396F5DE1F9F	20	0	0	0
2	CD6A063F-4B38-425B-A3E1-A424920AB519	15	0	0	0
2	4566953E-1583-4280-9136-A5ADC1643FC5	27	2	2	13634
2	D1B0C88E-EDED-4435-B0C6-AB9067FC610E	31	12	14	8136
2	285F2054-52A2-4734-AF76-AB9CAF46B9CF	3	0	0	0
2	27430B2D-EF46-4D51-9049-B03218381CE9	40	4	4	8842
2	94129DA4-E12F-43AB-B226-B4F83E1C89E4	35	6	4	3269
2	A63EE8F1-EB46-4D7D-A777-B6BF9D203443	1	0	0	0
