DeploymentTagID	DeploymentID	Tag	OldCreatedBy	CreatedTime	CreatedBy
1	BFD65C50-1BD5-4003-AB26-7EC076E4D83B	Active	Richard Mason	2007-10-19 00:04:26.480	wimmerj
2	B69D7BF1-98F1-431D-B29A-CE44D37F6615	Active	Richard Mason	2007-10-19 00:04:31.560	wimmerj
3	DF9C2F0C-45EF-4411-87B8-113FC9E88642	Test	Richard Mason	2007-10-19 00:07:28.807	wimmerj
4	BFD65C50-1BD5-4003-AB26-7EC076E4D83B	Airport	Richard Mason	2007-10-19 00:07:43.960	wimmerj
5	B69D7BF1-98F1-431D-B29A-CE44D37F6615	Airport	Richard Mason	2007-10-19 00:07:43.960	wimmerj
7	3F13BB2D-4099-4D65-9D9E-719969DEE2E9	Airport	Richard Mason	2007-10-19 09:48:00.283	wimmerj
8	3F13BB2D-4099-4D65-9D9E-719969DEE2E9	Active	Richard Mason	2007-10-19 09:49:59.123	wimmerj
10	E45AA83D-D86C-4517-866D-AA7A57B24362	Active	Mark Richards	2007-12-12 23:52:40.707	wimmerj
12	4F6EF7FD-8952-4AEF-9A55-2D5F224C5495	Active	Richard Mason	2008-04-21 00:00:00.000	wimmerj
13	4F6EF7FD-8952-4AEF-9A55-2D5F224C5495	Samford	Richard Mason	2008-04-21 00:00:00.000	wimmerj
14	98011871-F7CF-47E7-9ED9-DC7DB5CA8DAF	Active	Richard Mason	2008-04-21 06:48:43.723	wimmerj
15	98011871-F7CF-47E7-9ED9-DC7DB5CA8DAF	Samford	Richard Mason	2008-04-21 06:48:48.897	wimmerj
16	6D6ECE11-642D-4F65-A7D0-67A081D1ED27	Active	Richard Mason	2008-04-21 06:48:56.397	wimmerj
17	6D6ECE11-642D-4F65-A7D0-67A081D1ED27	Samford	Richard Mason	2008-04-21 06:49:00.410	wimmerj
18	E142AEA0-A135-4672-BFCD-A860A9C9459E	Samford	Richard Mason	2008-04-21 06:49:35.113	wimmerj
19	207EC68D-DC5A-422F-8D62-98B074366AB2	Samford	Richard Mason	2008-04-21 06:49:52.003	wimmerj
20	9AE6EF51-9EDB-4E32-8DB3-8D73440B8AB5	Samford	Richard Mason	2008-04-21 06:50:03.333	wimmerj
21	CE2C0388-2631-4F3C-A66D-35E87DADF62D	Samford	Richard Mason	2008-04-21 06:50:20.473	wimmerj
22	366DE2DA-8475-4AA5-84F1-FE5C2A904E0F	Samford	Richard Mason	2008-04-21 06:50:28.910	wimmerj
23	E083A0DA-60D1-4A41-8897-B54A58371CDF	Airport	Richard Mason	2008-04-23 05:02:31.673	wimmerj
24	ADC6FF37-067F-4145-BBB5-F42B5272C5A3	Samford	NULL	2008-06-03 06:23:02.837	wimmerj
25	8A8AB188-F39A-4A2E-9B75-9F1F60543A2F	Samford	NULL	2008-06-03 06:58:08.780	wimmerj
26	9394DA08-161C-44AD-96A0-72629ECAF3A4	Airport	NULL	2008-06-03 07:28:09.990	wimmerj
27	D5D36EE1-F1A8-47D1-A29B-1A42CBE35368	Airport	NULL	2008-06-03 07:30:48.453	wimmerj
28	BDA72373-6325-47B8-ABB5-3053CB5CD346	Airport	NULL	2008-06-03 07:34:59.897	wimmerj
29	C426C6AF-C491-4B88-8FF7-EA9830FB3509	Samford	NULL	2008-06-03 08:20:40.010	wimmerj
31	C426C6AF-C491-4B88-8FF7-EA9830FB3509	Samford	NULL	2008-08-14 07:41:24.027	wimmerj
32	BE3BE679-AF9A-4B6A-AC7B-8E116FC8760A	Samford	NULL	2008-08-14 07:41:31.307	wimmerj
36	E007A4CF-1C45-4806-8FE0-C6E2278F7B8A	Airport	NULL	2008-08-14 07:42:08.463	wimmerj
37	6AF2DF67-3DE4-46FD-B8D4-EC709098D089	Airport	NULL	2008-08-14 07:42:17.727	wimmerj
38	08913BD9-8B24-4636-AA72-9429B96FBB58	Airport	NULL	2008-08-14 07:42:24.883	wimmerj
39	C67A59AE-DC22-4C97-A787-68EAAEC1FEC1	Airport	NULL	2008-08-14 07:42:34.947	wimmerj
40	335F16DF-CC26-4993-B37C-270BBCCD8723	Airport	NULL	2008-08-14 07:42:46.210	wimmerj
41	48DBC2C1-3086-44FB-80CF-4F53B29B00D9	Airport	NULL	2008-08-14 07:42:53.710	wimmerj
43	560A1A66-4AF9-4B68-A303-27ADA042DD00	Airport	NULL	2008-08-14 07:43:09.540	wimmerj
44	8F73590C-EBB8-4D32-9E24-1EF51B6EB75F	St Bees	NULL	2008-08-27 07:46:29.203	wimmerj
45	F0A7A95E-CA77-4675-8F80-1127295BD127	St Bees	NULL	2008-08-27 07:46:37.890	wimmerj
46	FD8385D9-41A2-4563-9D01-11E5DBDAAFF9	St Bees	NULL	2008-08-27 07:46:46.750	wimmerj
47	41863006-742A-477D-A2A8-ADAE7F97B540	QUT	NULL	2008-08-27 07:56:35.523	wimmerj
49	B365BE36-1855-437E-BAC4-39DFFCEC6C52	QUT	NULL	2008-08-27 07:56:58.307	wimmerj
50	5F391901-388A-46DE-A078-98046F213C39	QUT	NULL	2008-08-27 07:57:09.023	wimmerj
51	1D62CD48-80C4-429C-8422-03231EC1A3F6	QUT	NULL	2008-08-27 07:57:16.867	wimmerj
52	B265548B-1FA8-422E-AAF9-D094A5BD5842	QUT	NULL	2008-08-27 07:57:27.197	wimmerj
53	69325428-D883-45D8-B00D-B9B742572C76	QUT	NULL	2008-08-28 08:21:39.167	wimmerj
54	9177964D-0F4F-4DBB-9ACF-30FE52B87571	QUT	NULL	2008-08-28 08:21:55.120	wimmerj
57	72421A00-30FC-4493-8471-23C9A1B13DB7	St Bees	NULL	2008-09-02 08:37:45.680	wimmerj
58	0EDFC16C-5C45-4BA4-AF5F-94C45A53E314	St Bees	NULL	2008-09-02 08:38:04.350	wimmerj
59	52912052-0D70-4C89-8652-C68F88D3C886	St Bees	NULL	2008-09-02 08:00:00.000	wimmerj
60	0221CABF-E927-4B70-B55F-B6C0B43B9D44	Samford	NULL	2008-09-19 15:54:33.130	wimmerj
61	378F6703-FF00-4012-ADAF-0E9A65EF4F42	Samford	NULL	2008-09-19 15:54:55.037	wimmerj
62	51CA47D6-C5E1-4BD8-8346-125330D0D3CE	Samford	NULL	2008-09-19 15:55:01.787	wimmerj
63	F4EE5F28-E091-4358-A80F-74588D9A9879	QUT	NULL	2008-09-24 15:49:24.137	wimmerj
64	34AE4CEB-8697-47EB-B845-5EC5B66B5860	QUT	NULL	2008-09-24 16:18:14.840	wimmerj
65	F269E27E-564A-41B7-B01C-FEB80A8B5813	airport	NULL	2008-11-12 12:02:43.343	wimmerj
67	0A648EC6-B453-4D51-82AC-430639AE78E9	St Bees	NULL	2008-11-17 15:20:52.040	wimmerj
68	5BA72958-7EB2-4614-B811-29FC350C476E	St Bees	NULL	2008-11-17 15:22:02.913	wimmerj
69	E796A767-3023-41B9-A696-CEBCFE833A24	Samford	NULL	2008-12-02 16:44:43.527	wimmerj
70	4B4CD439-D25F-4483-89BD-913C0C8B476F	Samford	NULL	2008-12-02 16:47:04.920	wimmerj
71	F39960D9-18DB-4992-BC8A-FD36F92D9922	Samford	NULL	2008-12-02 16:53:31.770	wimmerj
72	4975DBA1-64AC-490B-9515-C066AB40D531	airport	NULL	2008-12-03 09:32:10.940	wimmerj
73	F5549EC9-0792-4B2B-BDB4-CA514609A5CE	airport	NULL	2008-12-03 09:33:01.723	wimmerj
74	A544EA2A-2668-4E82-A665-7009936501BD	airport	NULL	2009-01-06 12:13:40.473	wimmerj
75	FFEAEC32-1AFA-40B8-BBC9-728BA3F03C0D	airport	NULL	2009-01-06 12:14:39.363	wimmerj
76	8B44C27D-B766-477C-BC64-0B748C680007	airport	NULL	2009-02-03 16:47:41.980	wimmerj
77	7EB6A405-0E5E-4939-9122-F8E519F69C59	airport	NULL	2009-02-03 16:48:01.163	wimmerj
78	A5AED582-EFB6-4C21-A95E-3136C10C0169	Samford	NULL	2009-02-05 10:34:02.417	wimmerj
79	D021BA27-A28B-4F51-AC3B-81386B9D86C4	Samford	NULL	2009-02-05 10:34:35.217	wimmerj
80	52328D3E-07FC-4EE6-9FDB-BE82B62D60E5	test	NULL	2009-02-10 11:29:15.960	wimmerj
82	42B5AF5E-2297-471B-BFBC-CA714F8F920F	lab	NULL	2009-02-12 11:40:38.817	wimmerj
83	076A8A20-8F6B-4AC1-84C4-D1DDDE96CB64	samford	NULL	2009-02-25 13:27:26.270	wimmerj
84	10FD4030-E234-4FD4-AE34-761CE6018E27	samford	NULL	2009-02-25 13:36:24.470	wimmerj
85	C56BB92C-8906-4C5A-AB08-B50E0F60DA63	samford	NULL	2009-02-25 13:37:29.697	wimmerj
86	990E9A43-AC41-4E7B-B433-5A039A1DE11E	samford	NULL	2009-02-25 13:40:14.757	wimmerj
88	CE10950A-3F2D-42ED-A5BB-7D97413DC19F	lab	NULL	2009-02-26 16:22:19.257	wimmerj
89	BCAA58EC-970D-4A1B-97C6-0E7158DB3AF8	samford	NULL	2009-03-09 11:54:40.273	wimmerj
90	CE10950A-3F2D-42ED-A2AB-7D9734FDC19F	samford	NULL	2009-03-26 19:39:53.090	wimmerj
91	D0D61381-477A-4566-95F8-2CF7C9398DB1	Airport	NULL	2009-04-10 19:44:38.853	wimmerj
92	FD09A5EF-09E5-4514-A684-38EBFB34724A	Airport	NULL	2009-04-10 19:44:54.397	wimmerj
93	7400C83F-1F0C-4D03-BF60-06428E82DF02	St Bees	NULL	2009-05-28 15:36:45.993	wimmerj
94	7D47B005-8A9F-41E7-9EA9-C90BA69D0A2E	St Bees	NULL	2009-05-28 15:37:00.883	wimmerj
96	C0E6BF70-B954-4479-9383-4D8A223E3B71	Grassy Knoll	NULL	2009-07-22 13:28:11.350	wimmerj
97	036EBF34-03FB-44FA-8F2A-373A44C642B8	St Bees	NULL	2009-08-24 19:31:02.180	wimmerj
98	CEBA2290-BA46-4871-91D4-3AF685E2510B	St Bees	NULL	2009-08-24 19:31:34.843	wimmerj
102	25E35C23-7E30-4052-B558-7AF69FE935FF	Blair Athol	NULL	2009-10-20 17:47:47.633	wimmerj
103	80B866A7-3D6D-423C-B218-0C1CBA56F8C1	Blair Athol	NULL	2009-10-21 08:51:21.170	wimmerj
104	2157F7F4-0901-41E6-A27B-120AAF42DA95	Blair Athol	NULL	2009-10-21 08:52:01.890	wimmerj
105	630C7B87-C25F-4A39-9830-4234BF48110A	Blair Athol	NULL	2009-10-21 10:39:37.830	wimmerj
106	BB03048A-D6D1-4DCF-9C24-E4191E455C1F	Blair Athol	NULL	2009-10-21 10:40:09.617	wimmerj
