ID,LatinName,CommonName,SyllableType,SyllableDuration-ms,DominantFreq-Hz,OscRate-cyclesPerSec,SyllableRepeatRate,Start-seconds
1,Homo sapiens,Human speech,Speech,700,400,120,3,0.151
2,Adelotus brevis,Tusked frog,toc,35,1200,1200,0,1.311
3,Assa darlingtoni,Couched frog,ribit,75,3400,180,5.5,3.103
4,Crinia deserticola,Torrid froglet,ribit,70,4760,24,1,5.705
5,Crinia parinsignifera,Beeping froglet,ribit,200,4100,350,1,6.534
6,Crinia signifera,Common eastern froglet,ribit,90,2600,25,5,7.26
7,Crinia tinnula,Wallum froglet,ribit,35,4100,344,1.2,7.962
8,Heleioporus australiacus,Giant burrowing frog,whistle,45,430,430,12,8.69
9,Lechriodus fletcheri,Black soled frog,ribit,380,700,14,0.2,9.732
10,Limnodynastes convexiusculus,Marbled marsh,whistle,100,1940,1940,1,10.881
11,Limnodynastes dumerilii dumerilii,Eastern bobblebonk,toc,120,480,480,0.2,11.657
12,Limnodynastes dumerilii grayi,Eastern bobblebonk,toc,140,1250,1250,1,12.323
13,Limnodynastes fletcheri.mp3,Barking marsh frog,ribit,140,1500,75,0.2,13.253
14,Limnodynastes ornatus.mp3,Ornate burrowing frog,toc,80,1800,1800,1,14.399
15,Limnodynastes peronii.mp3,Striped marsh frog,toc,15,1600,1600,1,15.462
16,Limnodynastes salmini.mp3,Salmon striped frog,toc,100,800,800,1,16.024
17,Limnodynastes tasmaniensis.mp3,Spotted marsh frog,ribit,300,1580,20,0.2,16.901
18,Limnodynastes terraereginae.mp3,Northern pobblebonk,toc,40,970,1000,1,17.644
19,Mixophyes balbus.mp3,Southern barred frog,ribit,800,800,7,0.2,18.772
20,Mixophyes fasciolatus.mp3,Great barred frog,ribit,200,1200,139,0.5,20.454
21,Mixophyes fleayi.mp3,Fleay's barred frog,ribit,450,800,74,0.2,24.626
22,Mixophyes iteratus.mp3,Giant barred frog,ribit,250,600,86,0.2,25.562
23,Neobatrachus sudelli.mp3,Marbled burrowing frog,ribit,400,1400,20,0.5,26.628
24,Paracrinia haswelli.mp3,Red groined froglet,ribit,160,2200,190,0.2,27.886
25,Philoria (undescribed).mp3,Philoria type C,ribit,0,0,0,0.2,0
26,Philoria kundagungan.mp3,Yellow bellied mountain frog,ribit,150,460,110,0.5,29.059
27,Philoria loveridgei.mp3,Masked mountain frog,ribit,110,500,70,0.2,29.903
28,Philoria (undescribed).mp3,Philoria type C,ribit,0,0,0,0.5,0
29,Philoria sphagnicolus.mp3,Sphagnum frog,ribit,80,1000,35,0.3,30.853
30,Pseudophryne australis.mp3,Red crowned brood frog,ribit,200,2900,75,0.2,32.322
31,Pseudophryne bibronii.mp3,Brown brood frog,ribit,150,2400,0,0.2,33.089
32,Pseudophryne coriacea.mp3,Red backed brood frog,ribit,300,2100,48,1,34.344
33,Pseudophryne major.mp3,Great brown brood frog,ribit,500,2750,0,0.2,35.241
34,Pseudophryne raveni.mp3,Copper backed brood frog,ribit,370,2500,44,1,36.26
35,Rheobatrachus silus.mp3,Gastric brooding frog,ribit,510,1500,58,0.1,37.542
36,Taudactylus pleione.mp3,Cumbert tinker frog,toc,30,2500,2500,5,39.16
37,Uperoleia fusca.mp3,Dusky toadlet,ribit,400,2300,42,1,42.238
